"","species","rsq","pseudoF","pval","body_diff","holm"
"1","bis_bhs",0.0635320527267341,11.2618064327197,0.001,550,0.006
"2","bis_elk",0.0760318388550292,13.7421586833203,0.001,375,0.006
"3","bis_deer",0.0846209334067981,10.2612392515295,0.001,545,0.006
"4","bhs_elk",0.059049847794282,8.84853306997868,0.001,175,0.006
"5","bhs_deer",0.0474921825698475,4.23811274255821,0.001,5,0.006
"6","elk_deer",0.0396066996537111,3.54664715902432,0.008,170,0.008
